asset_id,folder,filename,type,status,target_size,description
MM-00022,Art/Characters/Workers/Miners,worker_miner_lv01_walk_10.png,PNG,planned,512x512,character animation frame
MM-00023,Art/Characters/Workers/Miners,worker_miner_lv01_walk_11.png,PNG,planned,512x512,character animation frame
MM-00024,Art/Characters/Workers/Miners,worker_miner_lv01_walk_12.png,PNG,planned,512x512,character animation frame
MM-00025,Art/Characters/Workers/Miners,worker_miner_lv01_work_01.png,PNG,planned,512x512,character animation frame
MM-00026,Art/Characters/Workers/Miners,worker_miner_lv01_work_02.png,PNG,planned,512x512,character animation frame
MM-00027,Art/Characters/Workers/Miners,worker_miner_lv01_work_03.png,PNG,planned,512x512,character animation frame
MM-00028,Art/Characters/Workers/Miners,worker_miner_lv01_work_04.png,PNG,planned,512x512,character animation frame
MM-00029,Art/Characters/Workers/Miners,worker_miner_lv01_work_05.png,PNG,planned,512x512,character animation frame
MM-00030,Art/Characters/Workers/Miners,worker_miner_lv01_work_06.png,PNG,planned,512x512,character animation frame
MM-00031,Art/Characters/Workers/Miners,worker_miner_lv01_work_07.png,PNG,planned,512x512,character animation frame
MM-00032,Art/Characters/Workers/Miners,worker_miner_lv01_work_08.png,PNG,planned,512x512,character animation frame
MM-00033,Art/Characters/Workers/Miners,worker_miner_lv01_work_09.png,PNG,planned,512x512,character animation frame
MM-00034,Art/Characters/Workers/Miners,worker_miner_lv01_work_10.png,PNG,planned,512x512,character animation frame
MM-00035,Art/Characters/Workers/Miners,worker_miner_lv01_work_11.png,PNG,planned,512x512,character animation frame
MM-00036,Art/Characters/Workers/Miners,worker_miner_lv01_work_12.png,PNG,planned,512x512,character animation frame
MM-00037,Art/Characters/Workers/Miners,worker_miner_lv01_carry_01.png,PNG,planned,512x512,character animation frame
MM-00038,Art/Characters/Workers/Miners,worker_miner_lv01_carry_02.png,PNG,planned,512x512,character animation frame
MM-00039,Art/Characters/Workers/Miners,worker_miner_lv01_carry_03.png,PNG,planned,512x512,character animation frame
MM-00040,Art/Characters/Workers/Miners,worker_miner_lv01_carry_04.png,PNG,planned,512x512,character animation frame
MM-00041,Art/Characters/Workers/Miners,worker_miner_lv01_carry_05.png,PNG,planned,512x512,character animation frame
MM-00042,Art/Characters/Workers/Miners,worker_miner_lv01_carry_06.png,PNG,planned,512x512,character animation frame
MM-00043,Art/Characters/Workers/Miners,worker_miner_lv01_carry_07.png,PNG,planned,512x512,character animation frame
MM-00044,Art/Characters/Workers/Miners,worker_miner_lv01_carry_08.png,PNG,planned,512x512,character animation frame
MM-00045,Art/Characters/Workers/Miners,worker_miner_lv01_carry_09.png,PNG,planned,512x512,character animation frame
MM-00046,Art/Characters/Workers/Miners,worker_miner_lv01_carry_10.png,PNG,planned,512x512,character animation frame
MM-00047,Art/Characters/Workers/Miners,worker_miner_lv01_carry_11.png,PNG,planned,512x512,character animation frame
MM-00048,Art/Characters/Workers/Miners,worker_miner_lv01_carry_12.png,PNG,planned,512x512,character animation frame
MM-00049,Art/Characters/Workers/Miners,worker_miner_lv02_idle_01.png,PNG,planned,512x512,character animation frame
MM-00050,Art/Characters/Workers/Miners,worker_miner_lv02_idle_02.png,PNG,planned,512x512,character animation frame
MM-00051,Art/Characters/Workers/Miners,worker_miner_lv02_idle_03.png,PNG,planned,512x512,character animation frame
MM-00052,Art/Characters/Workers/Miners,worker_miner_lv02_idle_04.png,PNG,planned,512x512,character animation frame
MM-00053,Art/Characters/Workers/Miners,worker_miner_lv02_idle_05.png,PNG,planned,512x512,character animation frame
MM-00054,Art/Characters/Workers/Miners,worker_miner_lv02_idle_06.png,PNG,planned,512x512,character animation frame
MM-00055,Art/Characters/Workers/Miners,worker_miner_lv02_idle_07.png,PNG,planned,512x512,character animation frame
MM-00056,Art/Characters/Workers/Miners,worker_miner_lv02_idle_08.png,PNG,planned,512x512,character animation frame
MM-00057,Art/Characters/Workers/Miners,worker_miner_lv02_idle_09.png,PNG,planned,512x512,character animation frame
MM-00058,Art/Characters/Workers/Miners,worker_miner_lv02_idle_10.png,PNG,planned,512x512,character animation frame
MM-00059,Art/Characters/Workers/Miners,worker_miner_lv02_idle_11.png,PNG,planned,512x512,character animation frame
MM-00060,Art/Characters/Workers/Miners,worker_miner_lv02_idle_12.png,PNG,planned,512x512,character animation frame
MM-00061,Art/Characters/Workers/Miners,worker_miner_lv02_walk_01.png,PNG,planned,512x512,character animation frame
MM-00062,Art/Characters/Workers/Miners,worker_miner_lv02_walk_02.png,PNG,planned,512x512,character animation frame
MM-00063,Art/Characters/Workers/Miners,worker_miner_lv02_walk_03.png,PNG,planned,512x512,character animation frame
MM-00064,Art/Characters/Workers/Miners,worker_miner_lv02_walk_04.png,PNG,planned,512x512,character animation frame
MM-00065,Art/Characters/Workers/Miners,worker_miner_lv02_walk_05.png,PNG,planned,512x512,character animation frame
MM-00066,Art/Characters/Workers/Miners,worker_miner_lv02_walk_06.png,PNG,planned,512x512,character animation frame
MM-00067,Art/Characters/Workers/Miners,worker_miner_lv02_walk_07.png,PNG,planned,512x512,character animation frame
MM-00068,Art/Characters/Workers/Miners,worker_miner_lv02_walk_08.png,PNG,planned,512x512,character animation frame
MM-00069,Art/Characters/Workers/Miners,worker_miner_lv02_walk_09.png,PNG,planned,512x512,character animation frame
MM-00070,Art/Characters/Workers/Miners,worker_miner_lv02_walk_10.png,PNG,planned,512x512,character animation frame
MM-00071,Art/Characters/Workers/Miners,worker_miner_lv02_walk_11.png,PNG,planned,512x512,character animation frame
MM-00072,Art/Characters/Workers/Miners,worker_miner_lv02_walk_12.png,PNG,planned,512x512,character animation frame
MM-00073,Art/Characters/Workers/Miners,worker_miner_lv02_work_01.png,PNG,planned,512x512,character animation frame
MM-00074,Art/Characters/Workers/Miners,worker_miner_lv02_work_02.png,PNG,planned,512x512,character animation frame
MM-00075,Art/Characters/Workers/Miners,worker_miner_lv02_work_03.png,PNG,planned,512x512,character animation frame
MM-00076,Art/Characters/Workers/Miners,worker_miner_lv02_work_04.png,PNG,planned,512x512,character animation frame
MM-00077,Art/Characters/Workers/Miners,worker_miner_lv02_work_05.png,PNG,planned,512x512,character animation frame
MM-00078,Art/Characters/Workers/Miners,worker_miner_lv02_work_06.png,PNG,planned,512x512,character animation frame
MM-00079,Art/Characters/Workers/Miners,worker_miner_lv02_work_07.png,PNG,planned,512x512,character animation frame
MM-00080,Art/Characters/Workers/Miners,worker_miner_lv02_work_08.png,PNG,planned,512x512,character animation frame
MM-00081,Art/Characters/Workers/Miners,worker_miner_lv02_work_09.png,PNG,planned,512x512,character animation frame
MM-00082,Art/Characters/Workers/Miners,worker_miner_lv02_work_10.png,PNG,planned,512x512,character animation frame
MM-00083,Art/Characters/Workers/Miners,worker_miner_lv02_work_11.png,PNG,planned,512x512,character animation frame
MM-00084,Art/Characters/Workers/Miners,worker_miner_lv02_work_12.png,PNG,planned,512x512,character animation frame
MM-00085,Art/Characters/Workers/Miners,worker_miner_lv02_carry_01.png,PNG,planned,512x512,character animation frame
MM-00086,Art/Characters/Workers/Miners,worker_miner_lv02_carry_02.png,PNG,planned,512x512,character animation frame
MM-00087,Art/Characters/Workers/Miners,worker_miner_lv02_carry_03.png,PNG,planned,512x512,character animation frame
MM-00088,Art/Characters/Workers/Miners,worker_miner_lv02_carry_04.png,PNG,planned,512x512,character animation frame
MM-00089,Art/Characters/Workers/Miners,worker_miner_lv02_carry_05.png,PNG,planned,512x512,character animation frame
MM-00090,Art/Characters/Workers/Miners,worker_miner_lv02_carry_06.png,PNG,planned,512x512,character animation frame
MM-00091,Art/Characters/Workers/Miners,worker_miner_lv02_carry_07.png,PNG,planned,512x512,character animation frame
MM-00092,Art/Characters/Workers/Miners,worker_miner_lv02_carry_08.png,PNG,planned,512x512,character animation frame
MM-00093,Art/Characters/Workers/Miners,worker_miner_lv02_carry_09.png,PNG,planned,512x512,character animation frame
MM-00094,Art/Characters/Workers/Miners,worker_miner_lv02_carry_10.png,PNG,planned,512x512,character animation frame
MM-00095,Art/Characters/Workers/Miners,worker_miner_lv02_carry_11.png,PNG,planned,512x512,character animation frame
MM-00096,Art/Characters/Workers/Miners,worker_miner_lv02_carry_12.png,PNG,planned,512x512,character animation frame
MM-00097,Art/Characters/Workers/Miners,worker_miner_lv03_idle_01.png,PNG,planned,512x512,character animation frame
MM-00098,Art/Characters/Workers/Miners,worker_miner_lv03_idle_02.png,PNG,planned,512x512,character animation frame
MM-00099,Art/Characters/Workers/Miners,worker_miner_lv03_idle_03.png,PNG,planned,512x512,character animation frame
MM-00100,Art/Characters/Workers/Miners,worker_miner_lv03_idle_04.png,PNG,planned,512x512,character animation frame
MM-00101,Art/Characters/Workers/Miners,worker_miner_lv03_idle_05.png,PNG,planned,512x512,character animation frame
MM-00102,Art/Characters/Workers/Miners,worker_miner_lv03_idle_06.png,PNG,planned,512x512,character animation frame
MM-00103,Art/Characters/Workers/Miners,worker_miner_lv03_idle_07.png,PNG,planned,512x512,character animation frame
MM-00104,Art/Characters/Workers/Miners,worker_miner_lv03_idle_08.png,PNG,planned,512x512,character animation frame
MM-00105,Art/Characters/Workers/Miners,worker_miner_lv03_idle_09.png,PNG,planned,512x512,character animation frame
MM-00106,Art/Characters/Workers/Miners,worker_miner_lv03_idle_10.png,PNG,planned,512x512,character animation frame
MM-00107,Art/Characters/Workers/Miners,worker_miner_lv03_idle_11.png,PNG,planned,512x512,character animation frame
MM-00108,Art/Characters/Workers/Miners,worker_miner_lv03_idle_12.png,PNG,planned,512x512,character animation frame
MM-00109,Art/Characters/Workers/Miners,worker_miner_lv03_walk_01.png,PNG,planned,512x512,character animation frame
MM-00110,Art/Characters/Workers/Miners,worker_miner_lv03_walk_02.png,PNG,planned,512x512,character animation frame
MM-00111,Art/Characters/Workers/Miners,worker_miner_lv03_walk_03.png,PNG,planned,512x512,character animation frame
MM-00112,Art/Characters/Workers/Miners,worker_miner_lv03_walk_04.png,PNG,planned,512x512,character animation frame
MM-00113,Art/Characters/Workers/Miners,worker_miner_lv03_walk_05.png,PNG,planned,512x512,character animation frame
MM-00114,Art/Characters/Workers/Miners,worker_miner_lv03_walk_06.png,PNG,planned,512x512,character animation frame
MM-00115,Art/Characters/Workers/Miners,worker_miner_lv03_walk_07.png,PNG,planned,512x512,character animation frame
MM-00116,Art/Characters/Workers/Miners,worker_miner_lv03_walk_08.png,PNG,planned,512x512,character animation frame
MM-00117,Art/Characters/Workers/Miners,worker_miner_lv03_walk_09.png,PNG,planned,512x512,character animation frame
MM-00118,Art/Characters/Workers/Miners,worker_miner_lv03_walk_10.png,PNG,planned,512x512,character animation frame
MM-00119,Art/Characters/Workers/Miners,worker_miner_lv03_walk_11.png,PNG,planned,512x512,character animation frame
MM-00120,Art/Characters/Workers/Miners,worker_miner_lv03_walk_12.png,PNG,planned,512x512,character animation frame
MM-00121,Art/Characters/Workers/Miners,worker_miner_lv03_work_01.png,PNG,planned,512x512,character animation frame
MM-00122,Art/Characters/Workers/Miners,worker_miner_lv03_work_02.png,PNG,planned,512x512,character animation frame
MM-00123,Art/Characters/Workers/Miners,worker_miner_lv03_work_03.png,PNG,planned,512x512,character animation frame
MM-00124,Art/Characters/Workers/Miners,worker_miner_lv03_work_04.png,PNG,planned,512x512,character animation frame
MM-00125,Art/Characters/Workers/Miners,worker_miner_lv03_work_05.png,PNG,planned,512x512,character animation frame
MM-00126,Art/Characters/Workers/Miners,worker_miner_lv03_work_06.png,PNG,planned,512x512,character animation frame
MM-00127,Art/Characters/Workers/Miners,worker_miner_lv03_work_07.png,PNG,planned,512x512,character animation frame
MM-00128,Art/Characters/Workers/Miners,worker_miner_lv03_work_08.png,PNG,planned,512x512,character animation frame
MM-00129,Art/Characters/Workers/Miners,worker_miner_lv03_work_09.png,PNG,planned,512x512,character animation frame
MM-00130,Art/Characters/Workers/Miners,worker_miner_lv03_work_10.png,PNG,planned,512x512,character animation frame
MM-00131,Art/Characters/Workers/Miners,worker_miner_lv03_work_11.png,PNG,planned,512x512,character animation frame
MM-00132,Art/Characters/Workers/Miners,worker_miner_lv03_work_12.png,PNG,planned,512x512,character animation frame
MM-00133,Art/Characters/Workers/Miners,worker_miner_lv03_carry_01.png,PNG,planned,512x512,character animation frame
MM-00134,Art/Characters/Workers/Miners,worker_miner_lv03_carry_02.png,PNG,planned,512x512,character animation frame
MM-00135,Art/Characters/Workers/Miners,worker_miner_lv03_carry_03.png,PNG,planned,512x512,character animation frame
MM-00136,Art/Characters/Workers/Miners,worker_miner_lv03_carry_04.png,PNG,planned,512x512,character animation frame
MM-00137,Art/Characters/Workers/Miners,worker_miner_lv03_carry_05.png,PNG,planned,512x512,character animation frame
MM-00138,Art/Characters/Workers/Miners,worker_miner_lv03_carry_06.png,PNG,planned,512x512,character animation frame
MM-00139,Art/Characters/Workers/Miners,worker_miner_lv03_carry_07.png,PNG,planned,512x512,character animation frame
MM-00140,Art/Characters/Workers/Miners,worker_miner_lv03_carry_08.png,PNG,planned,512x512,character animation frame
MM-00141,Art/Characters/Workers/Miners,worker_miner_lv03_carry_09.png,PNG,planned,512x512,character animation frame
MM-00142,Art/Characters/Workers/Miners,worker_miner_lv03_carry_10.png,PNG,planned,512x512,character animation frame
MM-00143,Art/Characters/Workers/Miners,worker_miner_lv03_carry_11.png,PNG,planned,512x512,character animation frame
MM-00144,Art/Characters/Workers/Miners,worker_miner_lv03_carry_12.png,PNG,planned,512x512,character animation frame
MM-00145,Art/Characters/Workers/Miners,worker_miner_lv04_idle_01.png,PNG,planned,512x512,character animation frame
MM-00146,Art/Characters/Workers/Miners,worker_miner_lv04_idle_02.png,PNG,planned,512x512,character animation frame
MM-00147,Art/Characters/Workers/Miners,worker_miner_lv04_idle_03.png,PNG,planned,512x512,character animation frame
MM-00148,Art/Characters/Workers/Miners,worker_miner_lv04_idle_04.png,PNG,planned,512x512,character animation frame
MM-00149,Art/Characters/Workers/Miners,worker_miner_lv04_idle_05.png,PNG,planned,512x512,character animation frame
MM-00150,Art/Characters/Workers/Miners,worker_miner_lv04_idle_06.png,PNG,planned,512x512,character animation frame
MM-00151,Art/Characters/Workers/Miners,worker_miner_lv04_idle_07.png,PNG,planned,512x512,character animation frame
MM-00152,Art/Characters/Workers/Miners,worker_miner_lv04_idle_08.png,PNG,planned,512x512,character animation frame
MM-00153,Art/Characters/Workers/Miners,worker_miner_lv04_idle_09.png,PNG,planned,512x512,character animation frame
MM-00154,Art/Characters/Workers/Miners,worker_miner_lv04_idle_10.png,PNG,planned,512x512,character animation frame
MM-00155,Art/Characters/Workers/Miners,worker_miner_lv04_idle_11.png,PNG,planned,512x512,character animation frame
MM-00156,Art/Characters/Workers/Miners,worker_miner_lv04_idle_12.png,PNG,planned,512x512,character animation frame
MM-00157,Art/Characters/Workers/Miners,worker_miner_lv04_walk_01.png,PNG,planned,512x512,character animation frame
MM-00158,Art/Characters/Workers/Miners,worker_miner_lv04_walk_02.png,PNG,planned,512x512,character animation frame
MM-00159,Art/Characters/Workers/Miners,worker_miner_lv04_walk_03.png,PNG,planned,512x512,character animation frame
MM-00160,Art/Characters/Workers/Miners,worker_miner_lv04_walk_04.png,PNG,planned,512x512,character animation frame
MM-00161,Art/Characters/Workers/Miners,worker_miner_lv04_walk_05.png,PNG,planned,512x512,character animation frame
MM-00162,Art/Characters/Workers/Miners,worker_miner_lv04_walk_06.png,PNG,planned,512x512,character animation frame
MM-00163,Art/Characters/Workers/Miners,worker_miner_lv04_walk_07.png,PNG,planned,512x512,character animation frame
MM-00164,Art/Characters/Workers/Miners,worker_miner_lv04_walk_08.png,PNG,planned,512x512,character animation frame
MM-00165,Art/Characters/Workers/Miners,worker_miner_lv04_walk_09.png,PNG,planned,512x512,character animation frame
MM-00166,Art/Characters/Workers/Miners,worker_miner_lv04_walk_10.png,PNG,planned,512x512,character animation frame
MM-00167,Art/Characters/Workers/Miners,worker_miner_lv04_walk_11.png,PNG,planned,512x512,character animation frame
MM-00168,Art/Characters/Workers/Miners,worker_miner_lv04_walk_12.png,PNG,planned,512x512,character animation frame
MM-00169,Art/Characters/Workers/Miners,worker_miner_lv04_work_01.png,PNG,planned,512x512,character animation frame
MM-00170,Art/Characters/Workers/Miners,worker_miner_lv04_work_02.png,PNG,planned,512x512,character animation frame
MM-00171,Art/Characters/Workers/Miners,worker_miner_lv04_work_03.png,PNG,planned,512x512,character animation frame
MM-00172,Art/Characters/Workers/Miners,worker_miner_lv04_work_04.png,PNG,planned,512x512,character animation frame
MM-00173,Art/Characters/Workers/Miners,worker_miner_lv04_work_05.png,PNG,planned,512x512,character animation frame
MM-00174,Art/Characters/Workers/Miners,worker_miner_lv04_work_06.png,PNG,planned,512x512,character animation frame
MM-00175,Art/Characters/Workers/Miners,worker_miner_lv04_work_07.png,PNG,planned,512x512,character animation frame
MM-00176,Art/Characters/Workers/Miners,worker_miner_lv04_work_08.png,PNG,planned,512x512,character animation frame
MM-00177,Art/Characters/Workers/Miners,worker_miner_lv04_work_09.png,PNG,planned,512x512,character animation frame
MM-00178,Art/Characters/Workers/Miners,worker_miner_lv04_work_10.png,PNG,planned,512x512,character animation frame
MM-00179,Art/Characters/Workers/Miners,worker_miner_lv04_work_11.png,PNG,planned,512x512,character animation frame
MM-00180,Art/Characters/Workers/Miners,worker_miner_lv04_work_12.png,PNG,planned,512x512,character animation frame
MM-00181,Art/Characters/Workers/Miners,worker_miner_lv04_carry_01.png,PNG,planned,512x512,character animation frame
MM-00182,Art/Characters/Workers/Miners,worker_miner_lv04_carry_02.png,PNG,planned,512x512,character animation frame
MM-00183,Art/Characters/Workers/Miners,worker_miner_lv04_carry_03.png,PNG,planned,512x512,character animation frame
MM-00184,Art/Characters/Workers/Miners,worker_miner_lv04_carry_04.png,PNG,planned,512x512,character animation frame
MM-00185,Art/Characters/Workers/Miners,worker_miner_lv04_carry_05.png,PNG,planned,512x512,character animation frame
MM-00186,Art/Characters/Workers/Miners,worker_miner_lv04_carry_06.png,PNG,planned,512x512,character animation frame
MM-00187,Art/Characters/Workers/Miners,worker_miner_lv04_carry_07.png,PNG,planned,512x512,character animation frame
MM-00188,Art/Characters/Workers/Miners,worker_miner_lv04_carry_08.png,PNG,planned,512x512,character animation frame
MM-00189,Art/Characters/Workers/Miners,worker_miner_lv04_carry_09.png,PNG,planned,512x512,character animation frame
MM-00190,Art/Characters/Workers/Miners,worker_miner_lv04_carry_10.png,PNG,planned,512x512,character animation frame
MM-00191,Art/Characters/Workers/Miners,worker_miner_lv04_carry_11.png,PNG,planned,512x512,character animation frame
MM-00192,Art/Characters/Workers/Miners,worker_miner_lv04_carry_12.png,PNG,planned,512x512,character animation frame
MM-00193,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_01.png,PNG,planned,512x512,character animation frame
MM-00194,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_02.png,PNG,planned,512x512,character animation frame
MM-00195,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_03.png,PNG,planned,512x512,character animation frame
MM-00196,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_04.png,PNG,planned,512x512,character animation frame
MM-00197,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_05.png,PNG,planned,512x512,character animation frame
MM-00198,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_06.png,PNG,planned,512x512,character animation frame
MM-00199,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_07.png,PNG,planned,512x512,character animation frame
MM-00200,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_08.png,PNG,planned,512x512,character animation frame
MM-00201,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_09.png,PNG,planned,512x512,character animation frame
MM-00202,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_10.png,PNG,planned,512x512,character animation frame
MM-00203,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_11.png,PNG,planned,512x512,character animation frame
MM-00204,Art/Characters/Workers/Loggers,worker_logger_lv01_idle_12.png,PNG,planned,512x512,character animation frame
MM-00205,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_01.png,PNG,planned,512x512,character animation frame
MM-00206,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_02.png,PNG,planned,512x512,character animation frame
MM-00207,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_03.png,PNG,planned,512x512,character animation frame
MM-00208,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_04.png,PNG,planned,512x512,character animation frame
MM-00209,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_05.png,PNG,planned,512x512,character animation frame
MM-00210,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_06.png,PNG,planned,512x512,character animation frame
MM-00211,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_07.png,PNG,planned,512x512,character animation frame
MM-00212,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_08.png,PNG,planned,512x512,character animation frame
MM-00213,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_09.png,PNG,planned,512x512,character animation frame
MM-00214,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_10.png,PNG,planned,512x512,character animation frame
MM-00215,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_11.png,PNG,planned,512x512,character animation frame
MM-00216,Art/Characters/Workers/Loggers,worker_logger_lv01_walk_12.png,PNG,planned,512x512,character animation frame
MM-00217,Art/Characters/Workers/Loggers,worker_logger_lv01_work_01.png,PNG,planned,512x512,character animation frame
MM-00218,Art/Characters/Workers/Loggers,worker_logger_lv01_work_02.png,PNG,planned,512x512,character animation frame
MM-00219,Art/Characters/Workers/Loggers,worker_logger_lv01_work_03.png,PNG,planned,512x512,character animation frame
MM-00220,Art/Characters/Workers/Loggers,worker_logger_lv01_work_04.png,PNG,planned,512x512,character animation frame
MM-00221,Art/Characters/Workers/Loggers,worker_logger_lv01_work_05.png,PNG,planned,512x512,character animation frame
MM-00222,Art/Characters/Workers/Loggers,worker_logger_lv01_work_06.png,PNG,planned,512x512,character animation frame
MM-00223,Art/Characters/Workers/Loggers,worker_logger_lv01_work_07.png,PNG,planned,512x512,character animation frame
MM-00224,Art/Characters/Workers/Loggers,worker_logger_lv01_work_08.png,PNG,planned,512x512,character animation frame
MM-00225,Art/Characters/Workers/Loggers,worker_logger_lv01_work_09.png,PNG,planned,512x512,character animation frame
MM-00226,Art/Characters/Workers/Loggers,worker_logger_lv01_work_10.png,PNG,planned,512x512,character animation frame
MM-00227,Art/Characters/Workers/Loggers,worker_logger_lv01_work_11.png,PNG,planned,512x512,character animation frame
MM-00228,Art/Characters/Workers/Loggers,worker_logger_lv01_work_12.png,PNG,planned,512x512,character animation frame
MM-00229,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_01.png,PNG,planned,512x512,character animation frame
MM-00230,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_02.png,PNG,planned,512x512,character animation frame
MM-00231,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_03.png,PNG,planned,512x512,character animation frame
MM-00232,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_04.png,PNG,planned,512x512,character animation frame
MM-00233,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_05.png,PNG,planned,512x512,character animation frame
MM-00234,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_06.png,PNG,planned,512x512,character animation frame
MM-00235,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_07.png,PNG,planned,512x512,character animation frame
MM-00236,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_08.png,PNG,planned,512x512,character animation frame
MM-00237,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_09.png,PNG,planned,512x512,character animation frame
MM-00238,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_10.png,PNG,planned,512x512,character animation frame
MM-00239,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_11.png,PNG,planned,512x512,character animation frame
MM-00240,Art/Characters/Workers/Loggers,worker_logger_lv01_carry_12.png,PNG,planned,512x512,character animation frame
MM-00241,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_01.png,PNG,planned,512x512,character animation frame
MM-00242,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_02.png,PNG,planned,512x512,character animation frame
MM-00243,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_03.png,PNG,planned,512x512,character animation frame
MM-00244,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_04.png,PNG,planned,512x512,character animation frame
MM-00245,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_05.png,PNG,planned,512x512,character animation frame
MM-00246,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_06.png,PNG,planned,512x512,character animation frame
MM-00247,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_07.png,PNG,planned,512x512,character animation frame
MM-00248,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_08.png,PNG,planned,512x512,character animation frame
MM-00249,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_09.png,PNG,planned,512x512,character animation frame
MM-00250,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_10.png,PNG,planned,512x512,character animation frame
MM-00251,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_11.png,PNG,planned,512x512,character animation frame
MM-00252,Art/Characters/Workers/Loggers,worker_logger_lv02_idle_12.png,PNG,planned,512x512,character animation frame
MM-00253,Art/Characters/Workers/Loggers,worker_logger_lv02_walk_01.png,PNG,planned,512x512,character animation frame
